issue,language ,refrence ,quote,content_type,links,Tips
Sadness,Hindi,"Bhagavad Gita Chapter 2, Verse 14","Sukh aur dukh sharir ke sampark se aate hain, jaise garmi-sardi aati hai aur chali jaati hai. Unhe sehna seekho",video,https://youtu.be/hFa26ggQT0U?si=sT2mX4Zg68Er3AmB,"meditation, reflection, creative expression, or simply pausing to breathe deeply"
Sadness,English,Sadhguru,Sadness is a reaction; life itself is not sad. You are sad because you resist reality.,video,https://youtu.be/bbQym-YVRm0?si=KfG8pucta-KiJX0x,"It could be a memory, a mantra, or your center of calm—hold onto that"
Sadness,Hindi,"Bhagavad Gita Chapter 2, Verse 15","Jo vyakti dukh mein disturb nahi hota aur sukh mein bhi zyada attached nahi hota, wahi sthir-buddhi hai",video,https://youtu.be/FCsCQQuYTuo?si=6CXTKy33wzv2IXUJ,"exercise for 5 minutes, clean your desk, or write one positive thought."
Sadness,English,Sadhguru,"Do not try to get rid of sadness. Understand it, embrace it, and it will transform into wisdom",video,https://youtu.be/rkWbKSn71vo?si=5e_B96PDSO2_-rvh,"Find a quiet moment (even 2–5 minutes),Notice and name what you’re feeling—“I’m feeling sad, tired, disconnected.”,Breathe gently, offering yourself acceptance—“This is okay"""
Sadness,Hindi,"Bhagavad Gita Chapter 18, Verse 73",Jab moh (attachment) khatam hota hai tabhi mann clear hota hai aur dukh door hota hai.,video,https://youtu.be/RQy3MqPMSqY?si=Ci-mswfFj4Mktqu-,"uplifting music, meditation, prayer, or calling a supportive friend."
Sadness,English,Sadhguru,"Whatever you avoid, you become. Facing sadness fully is what liberates you",video,https://youtu.be/191v_vwDNXU?si=ZFjYH0a_fbDybqnS,"Drink a comforting cup of tea mindfully,Stretch your body gently,Close your eyes and take a slow, deep breath,These tiny care rituals affirm that you are worthy of peace."
Sadness,Hindi,Sadhguru,"Agar tumhara dukh tumhe yaad dilata hai ki tum adhoore ho, toh yeh achha hai. Apne dukh ko apne vikaas ke liye use karo",video,https://youtu.be/ZqQHEKDaFys?si=ts08WekbJy7Sbv3T,Remind yourself: “One misstep doesn’t define me—I’m still growing.”
Sadness,Hindi,Sadhguru,Khushi toh tumhari natural state hai. Dukh tum khud create karte ho,video,https://youtu.be/jgm5axDsbS0?si=GtrBysiFZCgscg79,"1 push-up, 5 min walk, one page of reading"
Sadness,Hindi,Sadhguru,"Zindagi mein jo bhi aaye, use fix karne ki zarurat nahi. Apne aap ko aise set karo ki jo bhi aaye, tum fine raho",video,https://youtu.be/I6QwXyE0J9c?si=qH03-tKJfRJiJuTk,"Replace draining content with something that lifts you—podcasts, speeches, prayers, affirmations."
Sadness,Hindi,Brahma Kumaris,"Sorry mat bano, content bano. Sorrow ko apna mat lo, warna tum bhi neeche gir jaoge. Strong raho, taaki doosron ko utha sako.",video,https://youtu.be/SGhoFSKL8HU?si=7WgkMzTLdnJ5WBUD,gently breathe and counter it immediately with your affirming statement
Sadness,Hindi,Brahma Kumaris,"Har experience hamare thoughts aur actions ka result hota hai. Jo beej hum bonge, wahi phal milega",video,https://youtu.be/KTS1-FdAk5Y?si=5apUrYfXEydvNZ6s,"Lean on Loved Ones ,Be the Helper ,Create Daily Check-Ins ,Use a Group Mantra,Celebrate Small Wins"
Sadness,English,Brahma Kumaris,Be aware that your thoughts create your reality; don’t let sorrow dominate your mind,video,https://youtu.be/Yiaatr-Noh0?si=HHnAc65id6xxhogj,"Enjoy your own company,Reflect to know yourself,Stay emotionally steady,Turn loneliness into aloneness,Find joy within, not outside"
Sadness,English,Brahma Kumaris,Sadness comes when you focus on what you lack; happiness comes when you focus on your inner self.,video,https://youtu.be/Ima3Gq3O3_c?si=MhSQX8WUMN45w2Hk,"Embrace solitude to discover yourself, find peace within not outside, build emotional strength by being alone, improve relationships by being complete alone, stay present in every moment."
Sadness,Hindi,"Bhagavad Gita Chapter 6, Verse 5","Insaan ko apne aap ko upar uthana chahiye, apne mann ko kabhi neeche girne mat do. Tumhara dukh tumhare apne control mein hai",video,https://youtu.be/nWNz6Gj2k-w?si=cj2JInUgYFqoJe9P," find inner peace, build strength, improve relationships, stay present."
Sadness,English,Sadhguru,"The fear is simply because you are not living with life, you are living in your mind",video,https://youtu.be/jRuPJ1BKbCI?si=jUa4sSgnr_79StJn,"Eat healthy, stay hydrated, exercise, sleep well, meditate, nurture positive relationships, and live with purpose."
Sadness,English,Sadhguru,"Everything that ever happened to you, you experienced right within you... All human experience is one hundred percent self-created",video,https://youtu.be/d8p-5WcXoRs?si=inAp-8KlAgJIVWXU,"Find inner joy, stay fully alive, and focus on personal growth."
Sadness,English ,Sadhguru,The only reason why you are unhappy is because you are trying to be happy,video,https://youtu.be/xCtMcg9kSdI?si=vE5uuYImiFtghSIz,"Stay joyful within, embrace life fully, and grow constantly."
Sadness,Hindi,Sadhguru,Mansik peeda asal mein isliye hoti hai kyunki zindagi kya hai iska nazariya hum kho dete hain,video,https://youtu.be/USSMYYt1H5E?si=iA_mcUm8ofGi3mta,"Awaken your inner energy, live fully in the moment, and keep evolving."
Sadness,Hindi,Premanand Ji Maharaj,"Kashht ke palon mein, sirf Hari aur Guru hi tumhare saath hote hain",video,https://youtu.be/YgeCHZfmx50?si=G9cy8WrJVPUbJ9zV,"Ignite inner joy, live each moment fully, and keep growing yourself."
Overthinking ,English,Sadguru,"The moment you get identified with something other than what you really are, the activity of the mind begins. You cannot stop it… But you do not know the joy of simply sitting here without a single thought on your mind",video,https://www.youtube.com/watch?v=zCT3wcoZ9ds,"Overthinking Stems from Misidentification, True Stillness Lies Beyond the Mind, Shift Focus to the 'Source of Creation' Within"
Overthinking ,English ,Gaur Gopal Das,"Just like a well-oiled machine, our body and mind need rest to perform at their best",video,https://www.youtube.com/watch?v=U_ilabJbPKU,"Pause Instead of React, Rest as a Priority, Conscious Stillness, Internal Shift Over External Fix"
Overthinking ,English,"Bhagavad Gita Chapter 6, Verse 6","For one who has conquered the mind, the mind is the best friend; but for one who has failed to do so, the mind will remain the greatest enemy",video,https://www.youtube.com/watch?v=t7vNoN-4IOE,"Schedule Daily Breaks, Honor True Relaxation, Treat Your Mind as a System"
Overthinking ,English ,"Bhagavad Gita Chapter 2, Verse 49","Those who are motivated only by desire for the fruits of action are miserable, for they are constantly anxious about the results of what they do",video,https://www.youtube.com/watch?v=bV1wd8Ng40Q,"Practice Mindfulness and Meditation, Simplify Your Thoughts, Embrace Stillness, Cultivate Positive Habits"
Overthinking ,English,"Bhagavad Gita Chapter 2, Verse 15",A person who is not disturbed by happiness and distress and is steady in both is certainly eligible for liberation,video,https://www.youtube.com/watch?v=84hvyUTNVEI,"Recognize the Pattern, Shift Your Perspective, Practice Mindfulness"
Overthinking ,English,"Bhagavad Gita Chapter 6, Verse 16–17","For one who is moderate in eating and recreation, balanced in work, and regulated in sleep, meditation becomes easy, and the mind becomes steady",video,https://www.youtube.com/watch?v=jRuPJ1BKbCI,"Question Your Thoughts, Use Time-Limited Thinking, Seek Support"
Overthinking ,Hindi,"Bhagavad Gita Chapter 2, Verse 47","कर्म करो, फल की चिंता मत करो",video,https://www.youtube.com/watch?v=fOFUVKnjWgI,"Practice digital detox, Engage in creative hobbies, Hydrate and breathe"
Overthinking ,Hindi ,"Bhagavad Gita Chapter 6, Verse 1–2","जो मन को अपने नियंत्रण में रखता है, वही सफलता प्राप्त करता है",video,https://www.youtube.com/watch?v=yDhI7Cpu8Gc,"Write thoughts down, Eat balanced meals, Maintain a consistent sleep schedule"
Overthinking ,Hindi ,"Bhagavad Gita Chapter 2, Verse 13","आत्मा स्थिर और शांत है, भावनाओं से प्रभावित नहीं होती",video,https://www.youtube.com/watch?v=gEpCQmfI7Tw&list=TLPQMTgwODIwMjUfaCEDRAQsyw&index=2,"Set realistic expectations, Break problems into tiny steps, Reframe negative thoughts, Observe thoughts neutrally"
Overthinking ,Hindi,"Bhagavad Gita Chapter 6, Verse 7","जो व्यक्ति अपने मन पर विजय पाता है, वही वास्तविक स्वतंत्रता को अनुभव करता है",video,https://www.youtube.com/watch?v=6x-2upC42Rs,"Accept uncertainty, Visualize peace, Create a worry box, Listen to calming music, Laugh and play"
Loneliness,English,"Bhagavad Gita Chapter 2, Verse 48","Perform your duties equably, free from attachment to success or failure,  equanimity is called yoga",video,https://www.youtube.com/watch?v=vtg9q00AZOc,"Self-acceptance, Inner fulfillment, Connection with oneself"
